date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-01-04,1753.04,1757.44,1738.87,1750.43,4351400.0,8686920261.0,1256197800.0,0.003463944929691805,,
2021-01-05,1744.3,1805.17,1737.69,1805.17,5211605.0,10592557370.0,1256197800.0,0.004148713681873985,0.03079329813707865,0.03127231594522484
2021-01-06,1809.86,1862.63,1784.64,1840.71,4741020.0,9882593867.0,1256197800.0,0.003774103091089636,0.019496596582191827,0.01968789643080715
2021-01-07,1838.09,1875.78,1818.8,1875.78,3793139.0,7991178754.0,1256197800.0,0.0030195395979836933,0.01887320616076682,0.019052430855485136
2021-01-08,1877.53,1885.31,1808.3,1831.95,5386164.0,11345202869.0,1256197800.0,0.004287671893709733,-0.023643599615293276,-0.023366279627674902
2021-01-11,1831.95,1884.98,1804.43,1840.48,5107990.0,10768565415.0,1256197800.0,0.004066230652529403,0.0046454338624926095,0.004656240617920693
2021-01-12,1830.2,1894.1,1827.57,1894.1,4105859.0,8800558288.0,1256197800.0,0.0032684812853517177,0.02871738451499617,0.029133704251064874
2021-01-13,1896.81,1904.99,1871.39,1896.81,3438993.0,7418330854.0,1256197800.0,0.0027376206199374014,0.0014297361117181495,0.0014307586716646448
2021-01-14,1889.8,1895.94,1854.84,1870.52,3615220.0,7722089684.0,1256197800.0,0.002877906648140922,-0.013957060715121372,-0.01386011250467889
2021-01-15,1853.86,1870.82,1778.48,1824.94,5950939.0,12372103227.0,1256197800.0,0.004737262714518366,-0.024669357295480587,-0.0243675555460513
2021-01-18,1806.58,1833.25,1788.36,1808.28,3914404.0,8076715790.0,1256197800.0,0.003116072962394935,-0.009170992545748824,-0.009129067257005796
2021-01-19,1817.14,1837.47,1759.07,1761.31,4634519.0,9479278513.0,1256197800.0,0.0036893226528497344,-0.026318266871449225,-0.025974959630145844
2021-01-20,1760.07,1801.7,1737.72,1788.68,4508242.0,9126453277.0,1256197800.0,0.0035887994709113487,0.015420067285216277,0.015539569979163392
2021-01-21,1795.14,1831.97,1789.0,1814.42,3831017.0,7953455967.0,1256197800.0,0.00304969249269502,0.014287939768539815,0.014390500257172922
2021-01-22,1813.54,1840.71,1805.74,1823.14,2924761.0,6090260364.0,1256197800.0,0.002328264704810023,0.004794431818896605,0.004805943497095511
