标的,方法,VaR,样本量,违反次数,实际违反率,期望违反率,LR 统计量,p 值,结论
上证指数,历史模拟法,95%,794,31,0.0390,0.05,2.1634,0.1413,不拒绝
上证指数,历史模拟法,99%,794,8,0.0101,0.01,0.0005,0.9829,不拒绝
上证指数,GARCH 法,95%,794,29,0.0365,0.05,3.3359,0.0678,不拒绝
上证指数,GARCH 法,99%,794,13,0.0164,0.01,2.7316,0.0984,不拒绝
创业板指,历史模拟法,95%,794,38,0.0479,0.05,0.0777,0.7805,不拒绝
创业板指,历史模拟法,99%,794,14,0.0176,0.01,3.8069,0.0510,不拒绝
招商银行,历史模拟法,95%,794,23,0.0290,0.05,8.6576,0.0033,拒绝
招商银行,历史模拟法,99%,794,6,0.0076,0.01,0.5229,0.4696,不拒绝
贵州茅台,历史模拟法,95%,794,28,0.0353,0.05,4.0283,0.0447,拒绝
贵州茅台,历史模拟法,99%,794,5,0.0063,0.01,1.2662,0.2605,不拒绝
