VaR_95%,CVaR_95%,VaR_99%,CVaR_99%,标的,方法,置信水平,分布假设,VaR,CVaR,残差分布,VaR（无条件）,VaR（当前动态）,CVaR（当前动态）,VaR 均值（全期）,VaR 最大值（全期）,VaR 最小值（全期）
-0.014765456599061094,-0.023218390847941795,-0.02522024947270109,-0.038526624789269284,上证指数,历史模拟法,,,,,,,,,,,
,,,,上证指数,参数法,95%,正态分布,-0.01607621263704233,-0.02019782699319703,,,,,,,
,,,,上证指数,参数法,95%,t 分布,-0.014325306878303279,-0.02189045675908229,,,,,,,
,,,,上证指数,参数法,99%,正态分布,-0.022798229534465177,-0.026140686665333993,,,,,,,
,,,,上证指数,参数法,99%,t 分布,-0.025685187967483793,-0.03627205311536009,,,,,,,
,,,,上证指数,GARCH 法,95%,,,,正态,0.01564732358523227,0.014082409200602847,-0.017659909272584096,0.015433712118220535,0.05750495132908876,0.012792072657891342
,,,,上证指数,GARCH 法,99%,,,,正态,0.022130308351144316,0.01991702007303421,-0.022818223240773906,0.021828193576910876,0.08133035005624509,0.01809207247663469
-0.025570415521621637,-0.0374992019541306,-0.041786483672022146,-0.05868495503100979,创业板指,历史模拟法,,,,,,,,,,,
,,,,创业板指,参数法,95%,正态分布,-0.029842528820546763,-0.037477039569578985,,,,,,,
,,,,创业板指,参数法,95%,t 分布,-0.027701109343061834,-0.040124559107812374,,,,,,,
,,,,创业板指,参数法,99%,正态分布,-0.04229379325820992,-0.04848506267081082,,,,,,,
,,,,创业板指,参数法,99%,t 分布,-0.04673980144446566,-0.06267638683907555,,,,,,,
,,,,创业板指,GARCH 法,95%,,,,正态,0.029058319487878993,0.03042692584109367,-0.03815659253633648,0.028265271582362493,0.13293496318461218,0.021026284675718307
,,,,创业板指,GARCH 法,99%,,,,正态,0.04109773578401282,0.04303338186706316,-0.0493018187784819,0.03997611299716939,0.18801245528660265,0.029737875670427596
-0.026191456848890845,-0.03806055268130132,-0.0438288499273805,-0.061622061523750854,招商银行,历史模拟法,,,,,,,,,,,
,,,,招商银行,参数法,95%,正态分布,-0.02809805146172264,-0.03525910337893876,,,,,,,
,,,,招商银行,参数法,95%,t 分布,-0.02684464888729111,-0.04154525794010606,,,,,,,
,,,,招商银行,参数法,99%,正态分布,-0.03977714315524019,-0.045584457226115975,,,,,,,
,,,,招商银行,参数法,99%,t 分布,-0.04860149741484926,-0.07031211902482565,,,,,,,
,,,,招商银行,GARCH 法,95%,,,,正态,0.026983954710965825,0.018276700190540934,-0.022919719386747847,0.027119302213881532,0.053527449495907466,0.016402022828208202
,,,,招商银行,GARCH 法,99%,,,,正态,0.03816392209403668,0.025849085861547674,-0.02961438054467307,0.03835534665030449,0.07570489330921269,0.023197693892732747
-0.025535106891826885,-0.03936905438859563,-0.04730650457827894,-0.05878771541720702,贵州茅台,历史模拟法,,,,,,,,,,,
,,,,贵州茅台,参数法,95%,正态分布,-0.028577819970481054,-0.035785881910267145,,,,,,,
,,,,贵州茅台,参数法,95%,t 分布,-0.027483429789834455,-0.04996336467352665,,,,,,,
,,,,贵州茅台,参数法,99%,正态分布,-0.04033358117714499,-0.04617901841326224,,,,,,,
,,,,贵州茅台,参数法,99%,t 分布,-0.057764419195800706,-0.10056084578610171,,,,,,,
,,,,贵州茅台,GARCH 法,95%,,,,正态,0.02784555190305546,0.023537305958875213,-0.0295167312519931,0.027104019231113854,0.07008389120092855,0.01652744760742607
,,,,贵州茅台,GARCH 法,99%,,,,正态,0.039382495445035776,0.033289260990086625,-0.03813832521164212,0.03833373163612449,0.0991209847662632,0.023375084551515136
